Business and Management (Accounting) MA;Bath Spa University;Master's degree;Bath, England;;On campus 
Political Theory (Research);Cardiff University;Doctorate / PhD;Cardiff, Wales;;On campus 
Political Theory (Research);Cardiff University;Master's degree;Cardiff, Wales;;On campus 
Civil Engineering MSc;University of Surrey;Master's degree;Guildford, England;;On campus 
Pharmaceutical Biotechnology MSc;De Montfort University;Master's degree;Leicester, England;12 months;On campus 
MA Fashion Cultures and Histories;University of the Arts London;Master's degree;London, England;12 months;On campus 
Children's Rights MSc;Queen's University Belfast;Master's degree;Belfast, Northern Ireland;;On campus 
MA Design for Art Direction;University of the Arts London;Master's degree;London, England;;On campus 
MSc Zoo Conservation Biology;Manchester Metropolitan University;Master's degree;Manchester, England;;On campus 
MSc Creative Computing;University of the Arts London;Master's degree;London, England;;On campus 
MSc Real Estate (Blended Online Course);The University of Manchester;Master's degree;Manchester, England;2 years;Online / Distance 
MSc Sustainable Development;University of Sussex Business School;Master's degree;Falmer, England;;On campus, Online / Distance 
MA Film;University of the Arts London;Master's degree;London, England;;On campus 
BA Stage and Production Management;University of Essex;Bachelor's degree;Loughton, England;3 years;On campus 
Global Security and Borders MA;Queen's University Belfast;Master's degree;Belfast, Northern Ireland;;On campus 
MA Photography;University of the Arts London;Master's degree;London, England;;On campus 
MSc Conservation Biology;Manchester Metropolitan University;Master's degree;Manchester, England;;On campus 
MSc Engineering Smart Systems;Manchester Metropolitan University;Master's degree;Manchester, England;;On campus 
Healthcare Practice MSc;University of Surrey;Master's degree;Guildford, England;5 years;On campus 
Shoe Making Sneakers Short Course;University of the Arts London;Summer / Short course;London, England;6 weeks;On campus 
